Family,Species,SharkorRay,Feeding,FeedOrdinal,Residency,ResOrdinal,ThreatsClimateChange,Status,Threatened,OrdinalStatus,SizeMeasure,MaxSize,GL,Countries,LowerDepth,RangeSize,OceanBasin
Carcharhinidae,Carcharhinus_perezi,Shark,Mesopredator,4,R,1,Y,EN,Y,4,TL,295,9.6,43,378,2311031.01,A
Ginglymostomatidae,Ginglymostoma_unami,Shark,Mesopredator,4,R,1,no,EN,Y,4,TL,280,30,10,13,33151.4318,P
Carcharhinidae,Carcharhinus_amblyrhynchos,Shark,Mesopredator,4,R,1,Y,EN,Y,4,TL,255,14.5,67,280,5939688.06,P
Stegostomidae,Stegostoma_tigrinum,Shark,Mesopredator,4,R,1,no,EN,Y,4,TL,246,17,38,62,10400326.5,P
Carcharhinidae,Triaenodon_obesus,Shark,Mesopredator,4,R,1,Y,VU,Y,3,TL,200,12.3,62,330,7786145.82,P
Carcharhinidae,Carcharhinus_melanopterus,Shark,Mesopredator,4,R,1,Y,VU,Y,3,TL,180,14.5,70,75,5899762.55,P
Carcharhinidae,Carcharhinus_acronotus,Shark,Mesopredator,4,R,1,no,EN,Y,4,TL,137,10.5,45,64,796393.772,A
Orectolobidae,Eucrossorhinus_dasypogon,Shark,Mesopredator,4,R,1,no,LC,N,1,TL,125,11,3,50,635519.862,P
Ginglymostomatidae,Pseudoginglymostoma_brevicaudatum,Shark,Mesopredator,4,R,1,no,CR,Y,5,TL,75,10,5,50,62786.4926,P
Orectolobidae,Orectolobus_wardi,Shark,Mesopredator,4,R,1,no,LC,N,1,TL,63,8,1,3,54791.6899,P
Mobulidae,Mobula_birostris,Ray,FilterFeeder,1,T,3,Y,EN,Y,4,DW,700,29,139,1000,29043874.71,B
Mobulidae,Mobula_tarapacana,Ray,FilterFeeder,1,T,3,Y,EN,Y,4,DW,370,12.8,141,1896,11323161.6,B
Mobulidae,Mobula_thurstoni,Ray,FilterFeeder,1,T,3,Y,EN,Y,4,DW,220,12.8,148,100,18224778.7,B
Mobulidae,Mobula_kuhlii,Ray,FilterFeeder,1,T,3,Y,EN,Y,4,DW,135,12.8,42,50,9695409.04,P
Mobulidae,Mobula_eregoodoo,Ray,FilterFeeder,1,T,3,Y,EN,Y,4,DW,130,12.8,50,50,2776661.481,P
Rhincodontidae,Rhincodon_typus,Shark,FilterFeeder,1,T,3,Y,EN,Y,4,TL,2000,25,127,1928,171329721,B
Rhinobatidae,Pseudobatos_lentiginosus,Ray,InvertebrateFeeder,2,T,3,no,VU,Y,3,TL,78,6,7,30,419272.501,A
Myliobatidae,Aetomylaeus_nichofii,Ray,InvertebrateFeeder,2,T,3,no,VU,Y,3,DW,72,10,21,115,4002565.78,P
Dasyatidae,Hemitrygon_bennetti,Ray,InvertebrateFeeder,2,T,3,no,VU,Y,3,DW,61,12,9,36,230745.719,P
Aetobatidae,Aetobatus_ocellatus,Ray,LargeInvertebrateFeeder,3,T,3,no,VU,Y,3,DW,330,12,48,60,6398112.59,P
Aetobatidae,Aetobatus_narinari,Ray,LargeInvertebrateFeeder,3,T,3,no,EN,Y,4,DW,230,10,64,60,1547135.45,A
Rhinopteridae,Rhinoptera_javanica,Ray,LargeInvertebrateFeeder,3,T,3,Y,EN,Y,4,TL,165,14.5,21,50,1954610,P
Gymnuridae,Gymnura_poecilura,Ray,LargeInvertebrateFeeder,3,T,3,Y,VU,Y,3,DW,104,15,30,75,3332523.48,P
Pristidae,Pristis_zijsron,Ray,Mesopredator,4,T,3,Y,CR,Y,5,TL,700,14.6,39,70,5478359.46,P
Pristidae,Pristis_pectinata,Ray,Mesopredator,4,T,3,Y,CR,Y,5,TL,554,17,59,88,1979109.17,A
Pristidae,Anoxypristis_cuspidata,Ray,Mesopredator,4,T,3,Y,EN,Y,4,TL,350,6,22,40,5690170.7,P
Pristidae,Pristis_clavata,Ray,Mesopredator,4,T,3,Y,EN,Y,4,TL,318,16.4,6,20,900041.584,P
Carcharhinidae,Carcharhinus_limbatus,Shark,Mesopredator,4,T,3,Y,VU,Y,3,TL,286,16,125,140,9993933.83,B
Carcharhinidae,Carcharhinus_sorrah,Shark,Mesopredator,4,T,3,no,NT,N,2,TL,196,8,39,140,6057285.34,P
Triakidae,Mustelus_mosis,Shark,Mesopredator,4,T,3,no,NT,N,2,TL,150,11,20,250,762684.72,P
Triakidae,Triakis_scyllium,Shark,Mesopredator,4,T,3,no,EN,Y,4,TL,150,13.3,7,150,844339.98,P
Carcharhinidae,Carcharhinus_coatesi,Shark,Mesopredator,4,T,3,no,LC,N,1,TL,88,4.25,2,123,1467009.04,P
Carcharhinidae,Scoliodon_macrorhynchos,Shark,Mesopredator,4,T,3,no,NT,N,2,TL,71,3.75,11,50,1948667.79,P
