Year,EEZ,Catch,Effort,CPUE
1951,Barbados,95.18342862,1584.263273,0.060080563
1951,Belize,2077.047616,24773.87975,0.083840224
1951,Bermuda (UK),332.3461698,229803.9484,0.001446216
1951,Bonaire (Netherlands),27.45068016,7662.360827,0.003582536
1951,Brazil (mainland),1297.477926,11857.18908,0.109425423
1951,British Virgin Isl. (UK),487.7706666,62665.66059,0.007783699
1951,Brunei Darussalam,126.4256638,53362.43284,0.002369189
1951,Cayman Isl. (UK),28.97116258,20537.06216,0.001410677
1951,Chagos Archipelago (UK),31.388,43.73890938,0.717621917
1951,China,3082.873396,30814.03638,0.100047698
1951,Christmas Island,14.09007212,495.9449288,0.028410558
1951,Cocos (Keeling) Islands,50.42206344,7149305.732,7.05E-06
1951,Colombia,1537.935334,86258.96878,0.01782928
1951,Comoros Isl.,4.462048125,218.7868741,0.020394496
1951,Cook Islands,585.155496,2039.991622,0.286842107
1951,Costa Rica (Pacific),233.96326,819150.3914,0.000285617
1951,Cuba,5214.043677,1316144.2,0.003961605
1951,Curacao (Netherlands),326.3252387,767507.2809,0.000425175
1951,Daito Islands,140.1030735,12290448.66,1.14E-05
1951,Dominica,706.4642453,28986.99065,0.024371769
1951,Dominican Republic,8646.995732,1561330.879,0.005538221
1951,Fernando de Noronha (Brazil),23.35298576,792.5764526,0.029464647
1951,Fiji,23573.9771,692301.7165,0.034051594
1951,French Polynesia,1614.309443,25022.19806,0.064515093
1951,Grenada,489.1835956,439735.5885,0.001112449
1951,Guadeloupe (France),547.8627995,168615.9132,0.003249176
1951,Guam (USA),463.0626005,266212.2171,0.001739449
1951,Hawaii Main Islands (USA),1308.634315,681545.1714,0.001920099
1951,Honduras (Caribbean),514.070541,38871.37718,0.013224912
1951,Hong Kong,32.7021747,36095.28109,0.000905996
1951,India (mainland),44328.22175,481133.5327,0.092132888
1951,Indonesia,17649.99607,1084767.521,0.016270764
1951,Jamaica,24178.52476,2303506.685,0.010496399
1951,Japan Main Islands,12675.90751,3570845.418,0.003549834
1951,Kiribati,5422.058129,312671.1796,0.017341087
1951,Lord Howe Island,1.532442857,1590.503462,0.000963495
1951,Madagascar,6508.606604,80404.04683,0.080948744
1951,Maldives,1844.171857,105433.731,0.017491289
1951,Marshall Isl.,555.5266344,135.3487797,4.10440815
1951,Martinique (France),871.9798364,131611.0094,0.006625432
1951,Mauritius,1869.869693,50902.06512,0.036734653
1951,Mayotte (France),98.61427368,6669.017515,0.014786927
1951,Mexico,1459.194836,516683.5115,0.002824156
1951,Micronesia (Federated States of),5011.91914,12557.24961,0.399125549
1951,Mozambique,16451.60349,86625.23935,0.189916976
1951,Myanmar,6083.381246,92531.58609,0.065743834
1951,Nauru,17.69665557,32.2673712,0.548438094
1951,New Caledonia (France),1251.71704,490261.6319,0.002553161
1951,Nicaragua,3096.304443,25229.65103,0.122724822
1951,Niue (New Zealand),66.86424311,268.7897956,0.248760348
1951,Northern Marianas (USA),130.071707,20269.26368,0.00641719
1951,Oman,1954.170463,142230.306,0.01373948
1951,Palau,682.7501333,4135.752158,0.165084876
1951,Panama (Pacific),369.085113,337848.0943,0.001092459
1951,Papua New Guinea,8875.944961,691808.0577,0.012830069
1951,Philippines,17228.80087,5718179.418,0.003012987
1951,Puerto Rico (USA),3276.484341,350487.9304,0.009348351
1951,Reunion (France),246.0704545,2280.051989,0.107923177
1951,Saba and Sint Eustaius (Netherlands),787.5293867,509246.6276,0.00154646
1951,Saint Kitts & Nevis,930.9010607,25864.46986,0.0359915
1951,Saint Lucia,222.0424194,9582.764935,0.023171018
1951,Saint Vincent and the Grenadines,533.513245,7887.372797,0.067641439
1951,Samoa,4135.079198,35686.18393,0.115873393
1951,Seychelles,889.989069,3439.472444,0.258757435
1951,Solomon Isl.,4033.728859,1013331.866,0.003980659
1951,Somalia,1316.89638,13318.15686,0.098879777
1951,South Africa (Indian Ocean),32.20126009,28272.34428,0.001138967
1951,Sri Lanka,14206.64394,120864.7315,0.117541683
1951,St Martin (France),175.7610358,75328.93196,0.002333247
1951,Taiwan,4802.134716,1167483.833,0.004113234
1951,Timor Leste,520.0218547,5473.316345,0.095010378
1951,Tokelau (New Zealand),29.699904,5758610.724,5.16E-06
1951,Tonga,1575.238117,9966.063003,0.158060221
1951,Turks & Caicos Isl. (UK),290.1989779,262.9385026,1.10367624
1951,Tuvalu,157.9047846,3169.107212,0.049826268
1951,US Virgin Isl.,1266.527486,54969.544,0.023040531
1951,USA,3805.582403,299515.5678,0.012705792
1951,Vanuatu,474.6108257,24610.79059,0.019284664
