MERGE_SRC,Shape_Leng,Shape_Area,FID_,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3,ID,_count,_sum,_mean
"8365",0.36278721559,0.00136875899,"80",8365,Overlapping claim Gibraltarian Exclusive Economic Zone,3344,Overlapping claim,2208,Gibraltar,GIB,United Kingdom,2185,2185,Spain,ESP,Spain,0,0,,,,-5.21961,36.08832,8365,388,GIB,ESP,,"826","724","0","292","724","0","8365",23592,6812793.87518215,288.775596608263
"8366",43.48052138420,3.28456671362,"175",8366,Tunisian Exclusive Economic Zone,2214,200NM,2214,Tunisia,TUN,Tunisia,0,0,,,,0,0,,,,11.05319,36.00133,8366,99701,TUN,,,"788","0","0","788","0","0","8366",126600,17559864.4435773,138.703510612775
"8367",35.60891475190,1.15416234896,"148",8367,Moroccan Exclusive Economic Zone,2221,200NM,2221,Morocco,MAR,Morocco,0,0,,,,0,0,,,,-9.85201,32.78135,8367,280452,MAR,,,"504","0","0","504","0","0","8367",243089,37369856.7244348,153.729114540085
"8372",45.58056509570,1.90942415530,"164",8372,Libyan Exclusive Economic Zone,2194,200NM,2194,Libya,LBY,Libya,0,0,,,,0,0,,,,18.49934,33.14300,8372,364524,LBY,,,"434","0","0","434","0","0","8372",257142,7431742.21214403,28.9013160516136
"8378",11.20780679500,0.06227903701,"266",8378,Algerian Exclusive Economic Zone,2152,200NM,2152,Algeria,DZA,Algeria,0,0,,,,0,0,,,,3.53979,37.20344,8378,131193,DZA,,,"12","0","0","12","0","0","8378",178671,47203840.2459503,264.194190696589
"48997",0.31375939968,0.00171830744,"154",48997,Overlapping claim Chafarinas Islands: Spain / Morocco,5363,Overlapping claim,2185,Chafarinas Islands,,Spain,5363,2221,Chafarinas Islands,,Morocco,0,0,,,,-2.45356,35.16990,48997,26,ESP,MAR,,"724","504","0","0","0","0","48997",23740,3902216.99729061,164.373083289411
"48999",0.06785305266,0.00027620958,"153",48999,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,48996,Overlapping claim,2185,Peñón de Vélez de la Gomera,,Spain,48996,2221,Peñón de Vélez de la Gomera,,Morocco,0,0,,,,-4.30609,35.18525,48999,4,ESP,MAR,,"724","504","0","0","0","0","48999",25056,2580763.99507523,102.999840161048
"49000",0.23631142876,0.00170403317,"149",49000,Overlapping claim Melilla: Spain / Morocco,36288,Overlapping claim,2185,Melilla,,Spain,36288,2221,Melilla,,Morocco,0,0,,,,-2.91697,35.31672,49000,27,ESP,MAR,,"724","504","0","0","0","0","49000",19122,2490595.96661472,130.24767109166
"49001",0.11463474418,0.00082667104,"150",49001,Overlapping claim Alhucemas Islands: Spain / Morocco,48995,Overlapping claim,2185,Alhucemas Islands,,Spain,48995,2221,Alhucemas Islands,,Morocco,0,0,,,,-3.87866,35.23422,49001,14,ESP,MAR,,"724","504","0","0","0","0","49001",22566,2494153.54623032,110.527056023678
"49002",0.30989034945,0.00124116021,"152",49002,Overlapping claim Ceuta: Spain / Morocco,14864,Overlapping claim,2185,Ceuta,,Spain,14864,2221,Ceuta,,Morocco,0,0,,,,-5.30551,35.86909,49002,33,ESP,MAR,,"724","504","0","0","0","0","49002",22546,5936684.37285423,263.314307320777
"5670",8.33970886552,0.19023066016,"177",5670,Albanian Exclusive Economic Zone,2153,200NM,2153,Albania,ALB,Albania,0,0,,,,0,0,,,,19.11300,40.92708,5670,12165,ALB,,,"8","0","0","8","0","0","5670",70424,6448246.58756574,91.5631970289352
"5673",82.56853857850,1.30095637721,"220",5673,Croatian Exclusive Economic Zone,2160,200NM,2160,Croatia,HRV,Croatia,0,0,,,,0,0,,,,15.65218,43.43006,5673,55404,HRV,,,"191","0","0","191","0","0","5673",144162,12903579.5512943,89.5074953961122
"5679",242.56753259800,1.45350575202,"172",5679,Greek Exclusive Economic Zone,2099,200NM,2099,Greece,GRC,Greece,0,0,,,,0,0,,,,23.93245,36.50714,5679,482910,GRC,,,"300","0","0","300","0","0","5679",306805,29297797.1129022,95.4932191877649
"5691",4.04768991555,0.03510264438,"176",5691,Montenegrin Exclusive economic Zone,17831,200NM,17831,Montenegro,MNE,Montenegro,0,0,,,,0,0,,,,18.68015,41.87023,5691,6383,MNE,,,"499","0","0","499","0","0","5691",49469,4241555.78778577,85.7416925303881
"8476",24.45927137750,1.57967505471,"262",8476,Gabonese Exclusive Economic Zone,2104,200NM,2104,Gabon,GAB,Gabon,0,0,,,,0,0,,,,8.73897,-3.06254,8476,201759,GAB,,,"266","0","0","266","0","0","8476",85391,2154181.68960285,25.2272685599519
"8444",4.88028210123,0.00965014228,"0",8444,American Samoa Exclusive Economic Zone,8670,200NM,2204,American Samoa,ASM,United States,0,0,,,,0,0,,,,-169.06347,-13.85484,8444,405830,USA,,,"840","0","0","16","0","0","8444",789,107823.540385246,136.658479575724
"8445",11.09521943960,0.04864155917,"7",8445,Samoan Exclusive Economic Zone,8671,200NM,8671,Samoa,WSM,Samoa,0,0,,,,0,0,,,,-172.75372,-13.29687,8445,130480,WSM,,,"882","0","0","882","0","0","8445",3573,307267.16690731,85.996968068097
"8312",157.60321365500,1.86919822634,"33",8312,New Caledonian Exclusive Economic Zone,2261,200NM,17,New Caledonia,NCL,France,0,0,,,,0,0,,,,163.20377,-21.01871,8312,1175971,FRA,,,"250","0","0","540","0","0","8312",23095,394126.67477262,17.0654546340169
"8314",154.93590043800,1.12944238276,"47",8314,Solomon Islands Exclusive Economic Zone,8593,200NM,8593,Solomon Islands,SLB,Solomon Islands,0,0,,,,0,0,,,,163.68850,-10.05068,8314,1605325,SLB,,,"90","0","0","90","0","0","8314",36837,833144.487644762,22.6170558852448
"8323",901.06488903800,70.45579872590,"53",8323,Australian Exclusive Economic Zone,2147,200NM,2147,Australia,AUS,Australia,0,0,,,,0,0,,,,138.08226,-27.36726,8323,6871622,AUS,,,"36","0","0","36","0","0","8323",1994268,26310146.4107126,13.1928840109316
"8324",354.89105701100,7.72054170717,"259",8324,Papua New Guinean Exclusive Economic Zone,2237,200NM,2237,Papua New Guinea,PNG,Papua New Guinea,0,0,,,,0,0,,,,150.71774,-5.46159,8324,2399638,PNG,,,"598","0","0","598","0","0","8324",393180,6796753.60805222,17.2866209065879
"8492",1649.79441206000,89.63665182970,"263",8492,Indonesian Exclusive Economic Zone,2127,200NM,2127,Indonesia,IDN,Indonesia,0,0,,,,0,0,,,,117.89096,-3.30391,8492,6020917,IDN,,,"360","0","0","360","0","0","8492",1664168,335651249.448701,201.693128006728
"8758",14.98779395010,0.08160683339,"58",8758,East Timorian Exclusive Economic Zone,8757,200NM,8757,East Timor,TLS,East Timor,0,0,,,,0,0,,,,126.85410,-9.78156,8758,75647,TLS,,,"626","0","0","626","0","0","8758",32301,3086920.66193056,95.5673403897886
"21791",0.96246979850,0.00184076506,"39",21791,Oecussi Ambeno Exclusive Economic Zone,26234,200NM,8757,Oecusse,,East Timor,0,0,,,,0,0,,,,124.27075,-9.04989,21791,1826,TLS,,,"626","0","0","0","0","0","21791",20924,2221812.45598698,106.184881284027
"21798",3.81577966924,0.30149839558,"44",21798,Protected Zone established under the Torres Strait Treaty,2237,Joint regime,2237,Papua New Guinea,PNG,Papua New Guinea,2147,2147,Australia,AUS,Australia,0,0,,,,142.41029,-9.50249,21798,3717,PNG,AUS,,"598","36","0","598","36","0","21798",23385,48264.8073689938,2.06392163219986
"5673",0.61294811693,0.01132139302,"220",5673,Croatian Exclusive Economic Zone,2160,200NM,2160,Croatia,HRV,Croatia,0,0,,,,0,0,,,,15.65218,43.43006,5673,55404,HRV,,,"191","0","0","191","0","0","5673",36162,6446007.42291771,178.253620455664
"5692",0.91554828875,0.02268386732,"236",5692,Slovenian Exclusive Economic Zone,2188,200NM,2188,Slovenia,SVN,Slovenia,0,0,,,,0,0,,,,13.57896,45.56287,5692,214,SVN,,,"705","0","0","705","0","0","5692",40224,6625158.53052209,164.706606267952
"50167",0.61294811693,0.01132139302,"239",50167,Joint regime area Croatia / Slovenia,2160,Joint regime,2160,Croatia,HRV,Croatia,2188,2188,Slovenia,SVN,Slovenia,0,0,,,,13.30933,45.49770,50167,98,HRV,SVN,,"191","705","0","191","705","0","50167",36162,6446007.42291771,178.253620455664
"8495",1.43409494381,0.03413227789,"97",8495,Saint-Martin Exclusive Economic Zone,8688,200NM,17,Collectivity of Saint Martin,MAF,France,0,0,,,,0,0,,,,-63.20282,18.03469,8495,1100,FRA,,,"250","0","0","663","0","0","8495",317,78753.5093612671,248.433783474029
"21803",0.63682908732,0.00932732292,"100",21803,Sint-Maarten Exclusive Economic Zone,21802,200NM,15,Sint-Maarten,SXM,Netherlands,0,0,,,,0,0,,,,-63.12285,17.93813,21803,466,NLD,,,"528","0","0","534","0","0","21803",317,78753.5093612671,248.433783474029
"26518",4.15212066748,0.14275624618,"92",26518,Saba Exclusive Economic Zone,19095,200NM,15,Saba,BES,Netherlands,0,0,,,,0,0,,,,-63.60185,17.37739,26518,9487,NLD,,,"528","0","0","535","0","0","26518",490,117709.176185608,240.222808542057
"26526",1.15140960237,0.00656027829,"94",26526,Sint-Eustatius Exclusive Economic Zone,26525,200NM,15,Sint-Eustatius,BES,Netherlands,0,0,,,,0,0,,,,-63.12987,17.33890,26526,2176,NLD,,,"528","0","0","535","0","0","26526",317,78753.5093612671,248.433783474029
"8418",2.04196728637,0.00775680029,"64",8418,Barbados Exclusive Economic Zone,8649,200NM,8649,Barbados,BRB,Barbados,0,0,,,,0,0,,,,-57.99356,13.32288,8418,185007,BRB,,,"52","0","0","52","0","0","8418",529,345346.288574219,652.82852282461
"8402",4.88468305942,0.08296935673,"279",8402,Bermudian Exclusive Economic Zone,8636,200NM,2208,Bermuda,BMU,United Kingdom,0,0,,,,0,0,,,,-64.80693,32.36899,8402,464389,GBR,,,"826","0","0","60","0","0","8402",29,29879.1502685547,1030.31552650189
"8404",186.34354621500,9.36087951034,"63",8404,Bahamas Exclusive Economic Zone,2144,200NM,2144,Bahamas,BHS,Bahamas,0,0,,,,0,0,,,,-75.57785,25.11716,8404,619785,BHS,,,"44","0","0","44","0","0","8404",40934,5304451.50369362,129.585466939308
"8405",17.27618336380,0.16572969344,"102",8405,Turks and Caicos Exclusive Economic Zone,2211,200NM,2208,Turks and Caicos Islands,TCA,United Kingdom,0,0,,,,0,0,,,,-70.85361,22.80987,8405,91025,GBR,,,"826","0","0","796","0","0","8405",1299,9768.13577494025,7.51973500765223
"8406",139.39336603100,4.12195773723,"107",8406,Cuban Exclusive Economic Zone,8637,200NM,8637,Cuba,CUB,Cuba,0,0,,,,0,0,,,,-81.53050,21.60004,8406,352259,CUB,,,"192","0","0","192","0","0","8406",136836,14184792.5937827,103.662724676129
"8408",31.57380974830,0.26033211384,"108",8408,Haitian Exclusive Economic Zone,8639,200NM,8639,Haiti,HTI,Haiti,0,0,,,,0,0,,,,-73.54856,17.91219,8408,103485,HTI,,,"332","0","0","332","0","0","8408",55601,19535849.4724019,351.357879757592
"8456",328.73734540500,37.49637866520,"280",8456,United States Exclusive Economic Zone,2204,200NM,2204,United States,USA,United States,0,0,,,,0,0,,,,-95.82290,34.76294,8456,2451023,USA,,,"840","0","0","840","0","0","8456",776872,134539542.620185,173.181093693922
"8480",196.24575408900,16.39227797580,"233",8480,Indian Exclusive Economic Zone,2128,200NM,2128,India,IND,India,0,0,,,,0,0,,,,76.08532,14.59800,8480,1659487,IND,,,"356","0","0","356","0","0","8480",692887,397145399.217267,573.174845562505
"8481",35.27220332090,2.93273895537,"188",8481,Bangladeshi Exclusive Economic Zone,2142,200NM,2142,Bangladesh,BGD,Bangladesh,0,0,,,,0,0,,,,90.56153,20.47561,8481,112166,BGD,,,"50","0","0","50","0","0","8481",96633,78738400.4243164,814.818958578502
"8482",161.67779446200,10.13215443520,"231",8482,Myanmar Exclusive Economic Zone,2219,200NM,2219,Myanmar,MMR,Myanmar,0,0,,,,0,0,,,,94.65552,14.99651,8482,497460,MMR,,,"104","0","0","104","0","0","8482",245635,30971885.3876624,126.089056476733
"8427",48.58790719020,3.40916927780,"134",8427,Honduran Exclusive Economic Zone,2103,200NM,2103,Honduras,HND,Honduras,0,0,,,,0,0,,,,-83.84845,16.91154,8427,208636,HND,,,"340","0","0","340","0","0","8427",146083,11724500.960347,80.2591743073939
"8429",336.25948581800,17.33770304850,"65",8429,Mexican Exclusive Economic Zone,2224,200NM,2224,Mexico,MEX,Mexico,0,0,,,,0,0,,,,-105.33346,21.35018,8429,3187013,MEX,,,"484","0","0","484","0","0","8429",938076,49671526.8354494,52.9504292141036
"8430",10.50457006760,0.46679609631,"77",8430,Guatemalan Exclusive Economic Zone,2097,200NM,2097,Guatemala,GTM,Guatemala,0,0,,,,0,0,,,,-92.09080,12.55243,8430,110695,GTM,,,"320","0","0","320","0","0","8430",93171,22865562.852342,245.415020256754
"8457",28.10672528870,0.69516234450,"106",8457,Belizean Exclusive Economic Zone,8681,200NM,8681,Belize,BLZ,Belize,0,0,,,,0,0,,,,-87.59320,17.18774,8457,34312,BLZ,,,"84","0","0","84","0","0","8457",79027,5043946.3615442,63.8256084824706
"22491",0.32624413402,0.00042476891,"193",22491,Bosnian and Herzegovinian Exclusive Economic Zone,2136,200NM,2136,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,0,0,,,,0,0,,,,17.59256,42.91656,22491,13,BIH,,,"70","0","0","70","0","0","22491",27742,1161893.09846258,41.8820956838938
"8331",16.95696311020,1.56694103732,"208",8331,Cambodian Exclusive Economic Zone,2171,200NM,2171,Cambodia,KHM,Cambodia,0,0,,,,0,0,,,,102.54228,10.22543,8331,48697,KHM,,,"116","0","0","116","0","0","8331",46569,6343342.10503317,136.213835492134
"8332",97.10199212970,11.26294242950,"201",8332,Thailand Exclusive Economic Zone,2207,200NM,2207,Thailand,THA,Thailand,0,0,,,,0,0,,,,99.62868,9.16617,8332,298683,THA,,,"764","0","0","764","0","0","8332",217094,55275351.7310692,254.614829203337
"8333",60.85916958980,1.14572491160,"226",8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),8605,200NM,2128,Andaman and Nicobar,,India,0,0,,,,0,0,,,,92.18967,9.97738,8333,664448,IND,,,"356","0","0","0","0","0","8333",7885,342172.020178795,43.3953101051103
"8392",1.69321403345,0.07112100727,"171",8392,Togolese Exclusive Economic Zone,8632,200NM,8632,Togo,TGO,Togo,0,0,,,,0,0,,,,1.82135,4.63949,8392,15447,TGO,,,"768","0","0","768","0","0","8392",26108,11908014.5802879,456.105966764514
"8393",4.56990009837,0.13415145126,"235",8393,Beninese Exclusive Economic Zone,2139,200NM,2139,Benin,BEN,Benin,0,0,,,,0,0,,,,2.42123,4.84155,8393,35493,BEN,,,"204","0","0","204","0","0","8393",33267,32750269.4730225,984.467173866669
"8400",20.08747151660,0.98642879727,"267",8400,Ghanaian Exclusive Economic Zone,2100,200NM,2100,Ghana,GHA,Ghana,0,0,,,,0,0,,,,-0.85027,3.50201,8400,227500,GHA,,,"288","0","0","288","0","0","8400",82698,26082034.0993099,315.388934427797
"8474",20.74669839150,2.03651118282,"189",8474,Nigerian Exclusive Economic Zone,2253,200NM,2253,Nigeria,NGA,Nigeria,0,0,,,,0,0,,,,4.82275,4.08512,8474,179048,NGA,,,"566","0","0","566","0","0","8474",114592,66574989.7567806,580.974149650766
"8313",49.54846374210,0.19316609929,"37",8313,Vanuatu Exclusive Economic Zone,2202,200NM,2202,Vanuatu,VUT,Vanuatu,0,0,,,,0,0,,,,168.56883,-16.59488,8313,623424,VUT,,,"548","0","0","548","0","0","8313",13834,327324.601565882,23.6608791069742
"8464",318.19865915400,31.06936960270,"250",8464,Brazilian Exclusive Economic Zone,2143,200NM,2143,Brazil,BRA,Brazil,0,0,,,,0,0,,,,-39.44423,-11.09799,8464,3205183,BRA,,,"76","0","0","76","0","0","8464",819856,124537922.13144,151.902190301029
"5697",100.68427121200,1.03344236261,"173",5697,Turkish Exclusive Economic Zone,2213,200NM,2213,Turkey,TUR,Turkey,0,0,,,,0,0,,,,33.22060,40.52224,5697,262233,TUR,,,"792","0","0","792","0","0","5697",343515,75363436.1823647,219.389069421611
"8483",131.51621605200,12.75680768640,"237",8483,Malaysian Exclusive Economic Zone,2230,200NM,2230,Malaysia,MYS,Malaysia,0,0,,,,0,0,,,,109.11830,5.17569,8483,510804,MYS,,,"458","0","0","458","0","0","8483",391584,55195691.9609611,140.954921449705
"26521",4.39943022331,0.35650476996,"205",26521,Bruneian Exclusive Economic Zone,2145,200NM,2145,Brunei,BRN,Brunei,0,0,,,,0,0,,,,113.38744,6.05934,26521,43144,BRN,,,"96","0","0","96","0","0","26521",33879,1504007.54124361,44.3935045675376
"8484",104.64258015100,20.60013928540,"203",8484,Vietnamese Exclusive Economic Zone,2200,200NM,2200,Vietnam,VNM,Vietnam,0,0,,,,0,0,,,,108.75813,11.61103,8484,750958,VNM,,,"704","0","0","704","0","0","8484",280422,101508845.168677,361.986025235811
"8346",43.18054410450,1.91544317675,"168",8346,Sri Lankan Exclusive Economic Zone,2195,200NM,2195,Sri Lanka,LKA,Sri Lanka,0,0,,,,0,0,,,,81.63607,6.54638,8346,533559,LKA,,,"144","0","0","144","0","0","8346",92960,33229538.2901644,357.460609833954
"8321",40.96559590080,1.99639876122,"206",8321,Taiwanese Exclusive Economic Zone,2177,200NM,2177,Taiwan,TWN,Taiwan,0,0,,,,0,0,,,,118.71458,21.42076,8321,355433,TWN,,,"158","0","0","158","0","0","8321",48257,35945683.4901836,744.880193343631
"8322",590.43127439000,9.66090942840,"198",8322,Philippines Exclusive Economic Zone,2245,200NM,2245,Philippines,PHL,Philippines,0,0,,,,0,0,,,,122.15314,12.24500,8322,1971033,PHL,,,"608","0","0","608","0","0","8322",378443,131384319.237997,347.17069476248
"8327",101.90701615600,2.78553402593,"240",8327,South Korean Exclusive Economic Zone,8600,200NM,8600,South Korea,KOR,South Korea,0,0,,,,0,0,,,,127.57712,35.74071,8327,347671,KOR,,,"410","0","0","410","0","0","8327",74211,28012204.3857231,377.467011436621
"8486",248.17246573500,23.92878952140,"209",8486,Chinese Exclusive Economic Zone,8603,200NM,8603,China,CHN,China,0,0,,,,0,0,,,,118.14570,27.73853,8486,963556,CHN,,,"156","0","0","156","0","0","8486",409078,377144563.983283,921.938026447971
"8487",275.74341625400,4.02760917522,"224",8487,Japanese Exclusive Economic Zone,2121,200NM,2121,Japan,JPN,Japan,0,0,,,,0,0,,,,138.44863,29.55656,8487,4066513,JPN,,,"392","0","0","392","0","0","8487",277685,161089725.366249,580.116770319783
"21787",0.68197540224,0.00131834891,"18",21787,Chilean Exclusive Economic Zone (Easter Island),15120,200NM,2165,Easter Island,,Chile,0,0,,,,0,0,,,,-107.43869,-26.82400,21787,729763,CHL,,,"152","0","0","0","0","0","21787",233,9229.0386428833,39.6096079093704
"8407",4.19193142330,0.01624143595,"70",8407,Cayman Islands Exclusive Economic Zone,8638,200NM,2208,Cayman Islands,CYM,United Kingdom,0,0,,,,0,0,,,,-81.13914,19.15345,8407,118291,GBR,,,"826","0","0","136","0","0","8407",227,81136.1243209839,357.427860444863
"8308",1.62991902326,0.00748112135,"24",8308,Cocos Islands Exclusive Economic Zone,8589,200NM,2147,Cocos Islands,CCK,Australia,0,0,,,,0,0,,,,96.85434,-12.03146,8308,467440,AUS,,,"36","0","0","166","0","0","8308",12,279.399938583374,23.2833282152812
"8398",13.88895439240,0.34810324738,"257",8398,Equatorial Guinean Exclusive Economic Zone,2112,200NM,2112,Equatorial Guinea,GNQ,Equatorial Guinea,0,0,,,,0,0,,,,5.43745,-1.37183,8398,304133,GNQ,,,"226","0","0","226","0","0","8398",54976,9109674.14708567,165.702745690586
"8475",10.25847631840,0.70372298290,"190",8475,Cameroonian Exclusive Economic Zone,2170,200NM,2170,Cameroon,CMR,Cameroon,0,0,,,,0,0,,,,9.31089,3.46278,8475,15143,CMR,,,"120","0","0","120","0","0","8475",60240,15614385.8753424,259.202952777928
"8334",10.06488212660,0.05196647081,"25",8334,Comoran Exclusive Economic Zone,2163,200NM,2163,Comores,COM,Comores,0,0,,,,0,0,,,,43.45423,-11.42314,8334,164476,COM,,,"174","0","0","174","0","0","8334",2424,1338610.22293091,552.231940153015
